Sl. No.,Year,Type,                                                                 RESERCH PAPER,TECHNOLGY
1,2020,Conference,Denoising Diffusion Probabilistic Models,Generative Design of Floor Plans
2,2021,Conference,Diffusion Models Beat GANs on Image Synthesis,Diffusion Models for Image Generation
3,2021,Conference,Multimodal Text Style Transfer for Outdoor Vision-and-Language Navigation,"Reinforcement Learning , Multimodal Learning"
4,2021,Conference,BERT-based Dynamic Clustering of Subway Stations Using Flow Information,"BERT, Dynamic Clustering, Flow Information, Machine Learning​"
5,2021,Review,Generative Adversarial Networks–Enabled Human–Artificial Intelligence Collaborative Applications for Creative and Design Industries: A Systematic Review of Current Approaches and Trends,"Generative Adversarial Networks (GANs), machine learning, human–artificial intelligence collaboration"
6,2022,Article,Question answering method for infrastructure damage information retrieval from textual data using bidirectional encoder representations from transformers,"BERT, Transformers, Text Mining, Knowledge Extraction"
7,2022,Article,Research on Sustainable Reuse of Urban Ruins Based on Artificial Intelligence Technology: A Study of Guangzhou," Artificial Intelligence, Urban Sustainability, Environmental Modeling​"
8,2022,Article,Free and open source urbanism: Software for urban planning practice,"Open source tools, Geographic Information Systems (GIS), Python, API, 3D city models, urban morphology, spatial analysis​"
9,2022,Article,A generative design method of building layout generated by path,"Generative design, building layout, path generation algorithms​"
10,2022,Conference,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,Text-to-Image Systems
11,2022,Conference,Flamingo: a Visual Language Model for Few-Shot Learning,"Few-Shot Learning, Multimodal Learning"
12,2022,Conference,DALLE-URBAN: Capturing the urban design expertise of large text to image transformers,"DALL-E, Urban Design, Text-to-Image Models"
13,2022,Journal,Urban traffic flow prediction: a dynamic temporal graph network considering missing values,"Dynamic Temporal Graph Network, Machine Learning, Graph Networks"
14,2022,Review,Automated floorplan generation in architectural design: A review of methods and applications,"Automated design methods, floorplan generation, machine learning, AI-based methods"
15,2023,Article,Transformer models used for text-based question answering systems," BERT, GPT, NLP"
16,2023,Article,A Survey of Vision-Language Pre-training from the Lens of Multimodal Machine Translation,Vision-Language Models
17,2023,Article,Large-scale Multi-modal Pre-trained Models: A Comprehensive Survey,"NLP, Computer Vision, Deep Learning Frameworks"
18,2023,Article,AI art in architecture,"DALL-E, StableDiffusion, Midjourney, Text-to-Image Models, Ideation, Sketching, Image Combination, Inpainting, Outpainting​"
19,2023,Article,Public sentiment analysis on urban regeneration: A massive data study based on sentiment knowledge enhanced pre-training and latent Dirichlet allocation,"Sentiment Knowledge Enhanced Pre-Training, Latent Dirichlet Allocation, Natural Language Processing (NLP), Word Cloud"
20,2023,Article,Intelligent layout generation based on deep generative models: A comprehensive survey,"Deep Generative Models, Layout Generation, Machine Learning, AI-Based Design Optimization"
21,2023,Conference,GeoFormer: Predicting Human Mobility using Generative Pre-trained Transformer (GPT),"GPT, Data Representation"
22,2023,Conference,Adding Conditional Control to Text-to-Image Diffusion Models,Text-to-Image Diffusion Models
23,2023,Conference,A New Method of Smart City Modeling Using Big Data Techniques,"Big Data, AI, Machine Learning, Smart City Models"
24,2023,Journal,UPDExplainer: An interpretable transformer-based framework for urban physical disorder detection using street view imagery,"Computer Vision , Transformer-Based Framework , Pre-trained Vision Model"
25,2023,Journal,Empirical assessment of transformer-based neural network architecture in forecasting pollution trends,Transformer-Based Neural Networks
26,2023,Journal,Industrial-generative pre-trained transformer for intelligent manufacturing systems,"Generative Model, Optimization Algorithms"
27,2023,Review,End-to-End Transformer-Based Models in Textual-Based NLP,"Transformer-Based Models, Textual Data Application"
28,2023,Review,Integration of convolutional and adversarial networks into building design: A review,"Convolutional Neural Networks (CNNs), Generative Adversarial Networks (GANs), Design Automation, Building Design Optimization"
29,2024,Article,ComfortGPT: a transformer-based architecture for predicting preferred temperature setpoints leveraging big data,"Transformer-Based Architecture, Predictive Modeling"
30,2024,Article,Generative AI model trained by molecular dynamics for rapid mechanical design of architected graphene,"Optimization Algorithms, Data-Driven Modeling"
31,2024,Article,Generative AI for visualization: State of the art and future directions,GAN
32,2024,Article,Vision-Language Integration in AI: a reality check,"NLP, Computer Vision, Vision-Language Models"
33,2024,Article,Detection and classification of surface defects on hot-rolled steel using vision transformers,"Vision Transformers, Computer Vision"
34,2024,Article,Multi-scale Knowledge Transfer Vision Transformer for 3D vessel shape segmentation,"Vision Transformer (ViT), Swin Transformer, Swin-Unet, Knowledge Distillation, TRSF-Net, VT-UNet, U-Net Transformer Variants."
35,2024,Article,An illumination-guided dual attention vision transformer for low-light image enhancement,"Dual Attention Mechanism, Vision Transformer (ViT), Illumination-Guided Network, Frequency-Domain Optimization. "
36,2024,Article,Improving facade parsing with vision transformers and line integration,"Vision Transformer (ViT), Revision-based Transformer Facade Parsing (RTFP), Line Acquisition, Filtering, and Revision (LAFR)."
37,2024,Article,Leveraging Contrastive Language–Image Pre-Training and Bidirectional Cross-attention for Multimodal Keyword Spotting,"Contrastive Language-Image Pre-Training (CLIP), Bidirectional Cross-Attention, Multimodal Keyword Spotting"
38,2024,Article,Recognizing temporary construction site objects using CLIP-based few-shot learning and multi-modal prototypes,"CLIP-based few-shot learning, Multi-modal prototypes, Vision Transformer (ViT), Transformer models"
39,2024,Article,Perceptual Image Quality Prediction: Are Contrastive Language–Image Pretraining (CLIP) Visual Features Effective," Contrastive Language–Image Pretraining (CLIP), Multimodal models, Image quality prediction"
40,2024,Article,Fine-grained knowledge about manipulable objects is well-predicted by contrastive language image pre-training,"CLIP, Object manipulation, Contrastive learning, Pretraining models"
41,2024,Conference,Scaling Rectified Flow Transformers for High-Resolution Image Synthesis,"Image-to-Image Translation, Rectified Flow Transformers"
42,2024,Conference,CLIP-GUIDED SOURCE-FREE OBJECT DETECTION IN AERIAL IMAGES,"CLIP, Object detection, Aerial images, Vision Transformer (ViT)"
43,2024,Conference,The Possibilities of Text-to-Image Tools for the Generation of Floor Plans,"Text-to-Image Models, Floor Plan Generation"
44,2024,Conference,Exploration of Conceptual Design Generation Based on the Deep Learning Model – Discussing the Application of AI Generator to the Preliminary Architectural Design Process,"Deep Learning, Generative Models, AI Design Tools"
45,2024,Journal,Fine-Grained Urban Village Extraction by Mask Transformer From High-Resolution Satellite Images in Pearl River Delta,Deep Learning Framework
46,2024,Journal,Integration of an improved transformer with physical models for the spatiotemporal simulation of urban flooding depths,Transformer Models
47,2024,Journal,Enhancing road traffic flow in sustainable cities through transformer models: Advancements and challenges,"Optimization Algorithms, Spatial Data Analysis"
48,2024,Journal,"Generative pre-trained transformers (GPT)-based automated data mining for building energy management: Advantages, limitations and the future","NLP, Predictive Modeling for Space Utilization"
49,2024,Journal,Transformers in source code generation: A comprehensive survey,Transformer Models
